날짜,감성_점수,뉴스_개수,주요_감정
2026-01-27,0.1693,40,중립
2026-01-26,0.2386,40,중립
2026-01-25,0.07,39,중립
2026-01-24,0.0775,11,중립
2026-01-23,0.0385,40,중립
2026-01-22,0.0152,40,중립
2026-01-21,0.093,40,중립
2026-01-20,-0.2002,40,중립
2026-01-19,0.275,40,중립
2026-01-18,0.2186,39,중립
2026-01-17,0.061,13,중립
2026-01-16,0.1931,40,중립
2026-01-15,0.0667,40,중립
2026-01-14,0.1967,40,중립
2026-01-13,0.3193,40,긍정
2026-01-12,0.166,40,중립
2026-01-11,0.1747,40,중립
2026-01-10,0.2261,8,중립
2026-01-09,0.1328,40,중립
2026-01-08,0.2243,40,중립
2026-01-07,0.3906,40,긍정
2026-01-06,0.1623,40,중립
2026-01-05,0.1504,40,중립
2026-01-04,0.2244,40,중립
2026-01-03,-0.0038,11,중립
2026-01-02,0.2177,40,중립
2026-01-01,0.2178,30,중립
2025-12-31,0.1061,30,중립
2025-12-30,0.2138,40,중립
2025-12-29,0.2215,40,중립
2025-12-28,0.2115,21,중립
2025-12-27,-0.0149,8,중립
2025-12-26,0.1957,40,중립
2025-12-25,0.1813,31,중립
2025-12-24,0.0216,40,중립
2025-12-23,0.4598,40,긍정
2025-12-22,0.3897,40,중립
2025-12-21,0.6071,28,긍정
2025-12-20,0.4106,7,중립
2025-12-19,0.1964,40,중립
2025-12-18,-0.0412,40,중립
2025-12-17,-0.0413,40,중립
2025-12-16,-0.2261,40,중립
2025-12-15,-0.0308,40,중립
2025-12-14,0.1379,32,중립
2025-12-13,0.1484,7,중립
2025-12-12,0.3097,40,중립
2025-12-11,-0.081,40,중립
2025-12-10,0.0196,40,중립
2025-12-09,0.2734,40,중립
2025-12-08,0.313,40,중립
2025-12-07,0.418,23,중립
2025-12-06,0.2956,13,중립
2025-12-05,0.2008,40,중립
2025-12-04,0.1084,40,중립
2025-12-03,0.3646,40,중립
2025-12-02,0.1328,40,중립
2025-12-01,0.1617,40,중립
2025-11-30,0.3025,31,중립
2025-11-29,0.1108,8,중립
2025-11-28,0.0899,40,중립
2025-11-27,0.0646,40,중립
2025-11-26,0.1823,40,중립
2025-11-25,0.1513,40,중립
2025-11-24,-0.1084,40,중립
2025-11-23,0.3944,23,중립
2025-11-22,0.1072,11,중립
2025-11-21,-0.1029,40,중립
2025-11-20,0.4023,40,중립
2025-11-19,0.1366,40,중립
2025-11-18,-0.1687,40,중립
2025-11-17,0.2443,40,중립
2025-11-16,0.2366,40,중립
2025-11-15,-0.2214,4,중립
2025-11-14,-0.0883,40,중립
2025-11-13,0.3135,40,중립
2025-11-12,0.1832,40,중립
2025-11-11,0.2453,40,중립
2025-11-10,0.1478,40,중립
2025-11-09,0.149,35,중립
2025-11-08,0.1352,19,중립
2025-11-07,-0.0728,40,중립
2025-11-06,0.1025,40,중립
2025-11-05,-0.2135,40,중립
2025-11-04,-0.2236,40,중립
2025-11-03,0.2564,40,중립
2025-11-02,0.15,36,중립
2025-11-01,0.0613,15,중립
2025-10-31,0.2041,40,중립
2025-10-30,0.0433,40,중립
2025-10-29,0.1887,40,중립
2025-10-28,0.0028,40,중립
2025-10-27,0.1661,40,중립
2025-10-26,0.3111,38,중립
2025-10-25,0.7539,6,긍정
2025-10-24,0.1531,40,중립
2025-10-23,-0.0433,40,중립
2025-10-22,0.2945,40,중립
2025-10-21,0.0522,40,중립
2025-10-20,0.099,40,중립
2025-10-19,0.0909,39,중립
2025-10-18,0.0679,8,중립
2025-10-17,0.0005,40,중립
2025-10-16,0.2867,40,중립
2025-10-15,0.2541,40,중립
2025-10-14,0.1571,40,중립
2025-10-13,0.0555,40,중립
2025-10-12,-0.095,23,중립
2025-10-11,-0.1307,14,중립
2025-10-10,0.4314,40,긍정
2025-10-09,0.2095,38,중립
2025-10-08,0.1384,15,중립
2025-10-07,0.1448,11,중립
2025-10-06,0.1132,14,중립
2025-10-05,-0.0481,24,중립
2025-10-04,0.3531,14,중립
2025-10-03,0.0985,13,중립
2025-10-02,0.117,40,중립
2025-10-01,0.3555,40,중립
2025-09-30,0.1942,40,중립
2025-09-29,0.3293,40,중립
2025-09-28,0.2877,34,중립
2025-09-27,-0.2263,5,부정
2025-09-26,-0.0435,40,중립
2025-09-25,0.1168,40,중립
2025-09-24,-0.0244,40,중립
2025-09-23,0.1225,40,중립
2025-09-22,0.315,40,중립
2025-09-21,0.2042,40,중립
2025-09-20,-0.1326,5,중립
2025-09-19,0.026,40,중립
2025-09-18,0.2499,40,중립
2025-09-17,-0.1521,40,중립
2025-09-16,0.226,40,중립
2025-09-15,0.113,40,중립
2025-09-14,0.3521,19,중립
2025-09-13,-0.042,10,중립
2025-09-12,0.0591,40,중립
2025-09-11,0.2645,40,중립
2025-09-10,-0.0603,40,중립
2025-09-09,0.3906,40,중립
2025-09-08,0.243,40,중립
2025-09-07,0.0008,40,중립
2025-09-06,0.0998,19,중립
2025-09-05,-0.0175,40,중립
2025-09-04,0.5088,40,긍정
2025-09-03,-0.0064,40,중립
2025-09-02,0.1189,40,중립
2025-09-01,-0.3434,40,부정
2025-08-31,0.0767,21,중립
2025-08-30,-0.1563,20,중립
2025-08-29,-0.078,40,중립
2025-08-28,0.3596,40,긍정
2025-08-27,0.0258,40,중립
2025-08-26,-0.1315,40,중립
2025-08-25,0.202,40,중립
2025-08-24,0.0294,37,중립
2025-08-23,-0.037,10,중립
2025-08-22,0.0614,40,중립
2025-08-21,0.1406,40,중립
2025-08-20,-0.0364,40,중립
2025-08-19,-0.0302,40,중립
2025-08-18,-0.1454,40,중립
2025-08-17,0.0538,20,긍정
2025-08-16,0.1993,7,긍정
2025-08-15,0.1571,15,중립
2025-08-14,0.1104,40,중립
2025-08-13,0.3413,40,중립
2025-08-12,0.1735,40,중립
2025-08-11,-0.1391,40,중립
2025-08-10,0.3638,28,중립
2025-08-09,0.4965,10,긍정
2025-08-08,0.0153,40,중립
2025-08-07,0.1511,40,중립
2025-08-06,-0.0588,40,중립
2025-08-05,0.1234,40,중립
2025-08-04,0.1087,40,중립
2025-08-03,0.3553,17,중립
2025-08-02,0.1508,13,중립
2025-08-01,0.0738,40,중립
2025-07-31,0.0247,40,중립
2025-07-30,0.2712,40,중립
2025-07-29,0.2642,40,중립
2025-07-28,0.2273,40,중립
2025-07-27,0.3097,24,중립
2025-07-26,0.1939,5,중립
2025-07-25,0.0993,40,중립
2025-07-24,0.0845,40,중립
2025-07-23,0.0013,40,중립
2025-07-22,-0.0515,40,중립
2025-07-21,0.2419,40,중립
2025-07-20,0.1799,26,중립
2025-07-19,-0.0358,8,중립
2025-07-18,-0.0614,40,중립
2025-07-17,-0.1987,40,중립
2025-07-16,0.1093,40,중립
2025-07-15,0.1775,40,중립
2025-07-14,-0.0408,40,중립
2025-07-13,-0.0165,38,중립
2025-07-12,-0.1481,8,중립
2025-07-11,0.0881,40,중립
2025-07-10,0.2587,40,중립
2025-07-09,0.3565,40,중립
2025-07-08,0.114,40,중립
2025-07-07,-0.0903,40,중립
2025-07-06,0.2605,27,중립
2025-07-05,-0.2584,4,중립
2025-07-04,-0.1873,40,중립
2025-07-03,0.0418,40,중립
2025-07-02,0.0216,40,중립
2025-07-01,0.1491,40,중립
2025-06-30,0.0659,40,중립
2025-06-29,0.2792,19,중립
2025-06-28,0.0772,6,중립
2025-06-27,0.0732,40,중립
2025-06-26,0.1253,40,중립
2025-06-25,0.198,40,중립
2025-06-24,0.2801,40,중립
2025-06-23,0.075,40,중립
2025-06-22,-0.134,18,중립
2025-06-21,-0.1199,15,중립
2025-06-20,0.212,40,중립
2025-06-19,-0.0512,40,중립
2025-06-18,0.1676,40,중립
2025-06-17,0.0356,40,중립
2025-06-16,0.0709,40,중립
2025-06-15,0.1617,21,중립
2025-06-14,0.1999,8,중립
2025-06-13,-0.121,40,중립
2025-06-12,0.1101,40,중립
2025-06-11,0.2399,40,중립
2025-06-10,0.0834,40,중립
2025-06-09,0.184,40,중립
2025-06-08,0.3937,30,긍정
2025-06-07,0.1361,6,중립
2025-06-06,0.3619,12,긍정
2025-06-05,0.1999,40,중립
2025-06-04,0.3256,40,중립
2025-06-03,0.4991,16,긍정
2025-06-02,-0.0516,40,중립
2025-06-01,-0.009,21,중립
2025-05-31,0.2688,12,중립
2025-05-30,-0.1128,40,중립
2025-05-29,0.211,40,중립
2025-05-28,0.299,40,중립
2025-05-27,-0.0997,40,중립
2025-05-26,0.1186,40,중립
2025-05-25,0.3132,18,긍정
2025-05-24,-0.3927,4,중립
2025-05-23,0.0322,40,중립
2025-05-22,0.0249,40,중립
2025-05-21,0.1228,40,중립
2025-05-20,0.2513,40,중립
2025-05-19,-0.1533,40,중립
2025-05-18,0.0956,22,중립
2025-05-17,0.1317,6,중립
2025-05-16,0.1303,40,중립
2025-05-15,0.0282,40,중립
2025-05-14,0.168,40,중립
2025-05-13,0.206,40,중립
2025-05-12,0.2765,40,중립
2025-05-11,0.3581,23,중립
2025-05-10,-0.0956,12,중립
2025-05-09,0.1854,40,중립
2025-05-08,0.2151,40,중립
2025-05-07,0.3266,40,중립
2025-05-06,0.3003,21,중립
2025-05-05,0.168,7,중립
2025-05-04,-0.165,7,부정
2025-05-03,-0.0175,7,중립
2025-05-02,0.227,40,중립
2025-05-01,-0.024,27,중립
2025-04-30,0.0295,40,중립
2025-04-29,0.1135,40,중립
2025-04-28,0.0237,40,중립
2025-04-27,0.1788,27,중립
2025-04-26,-0.021,4,중립
2025-04-25,0.0926,40,중립
2025-04-24,0.2378,40,중립
2025-04-23,0.071,40,중립
2025-04-22,-0.033,40,중립
2025-04-21,0.0882,40,중립
2025-04-20,0.0103,14,중립
2025-04-19,-0.3331,3,중립
2025-04-18,0.0761,40,중립
2025-04-17,0.241,40,중립
2025-04-16,-0.0584,40,부정
2025-04-15,0.0358,40,중립
2025-04-14,-0.0868,40,중립
2025-04-13,-0.1544,33,중립
2025-04-12,-0.0164,8,중립
2025-04-11,-0.0107,40,중립
2025-04-10,0.179,40,중립
2025-04-09,0.1168,40,중립
2025-04-08,0.179,40,긍정
2025-04-07,-0.0576,40,중립
2025-04-06,0.3192,40,긍정
2025-04-05,-0.7161,4,부정
2025-04-04,-0.3784,40,중립
2025-04-03,-0.3673,40,중립
2025-04-02,-0.0991,40,중립
2025-04-01,0.1587,40,중립
2025-03-31,-0.2582,40,중립
2025-03-30,0.0595,40,중립
2025-03-29,0.1789,10,중립
2025-03-28,-0.0977,40,중립
2025-03-27,-0.1443,40,중립
2025-03-26,0.1608,40,중립
2025-03-25,-0.324,40,중립
2025-03-24,-0.0829,40,중립
2025-03-23,0.0496,31,중립
2025-03-22,-0.0527,13,중립
2025-03-21,-0.0578,40,중립
2025-03-20,0.1911,40,중립
2025-03-19,0.0315,40,중립
2025-03-18,-0.0027,40,중립
2025-03-17,0.3289,40,중립
2025-03-16,0.4601,30,긍정
2025-03-15,0.1241,10,중립
2025-03-14,0.1045,40,중립
2025-03-13,0.0894,40,중립
2025-03-12,0.2044,40,중립
2025-03-11,0.1966,40,중립
2025-03-10,0.2085,40,중립
2025-03-09,-0.0635,23,중립
2025-03-08,0.1533,10,중립
2025-03-07,-0.2577,40,중립
2025-03-06,-0.0708,40,중립
2025-03-05,0.1407,40,긍정
2025-03-04,-0.0289,40,중립
2025-03-03,0.2448,40,중립
2025-03-02,0.409,14,중립
2025-03-01,0.0803,9,중립
2025-02-28,-0.1162,40,중립
2025-02-27,0.3824,40,긍정
2025-02-26,0.1982,40,중립
2025-02-25,0.2115,40,중립
2025-02-24,0.0221,40,중립
2025-02-23,0.3533,11,중립
2025-02-22,0.1136,7,중립
2025-02-21,-0.0269,40,중립
2025-02-20,0.0158,40,중립
